Entity,Code,Year,Barley | 00000044 || Production | 005510 || tonnes
Africa (FAO),,1997,3097930
Africa (FAO),,1998,4529338
Africa (FAO),,1999,3734611
Africa (FAO),,2000,2117782
Africa (FAO),,2001,3497984
Africa (FAO),,2002,3864272
Africa (FAO),,2003,5800045
Africa (FAO),,2004,6286654
Africa (FAO),,2005,4651940
Africa (FAO),,2006,6234582
Africa (FAO),,2007,4605574
Africa (FAO),,2008,4159951
Africa (FAO),,2009,9367831
Africa (FAO),,2010,6734325
Africa (FAO),,2011,6655682
Africa (FAO),,2012,6144205
Africa (FAO),,2013,7255022
Africa (FAO),,2014,6116709
Africa (FAO),,2015,7554656
Africa (FAO),,2016,4841361
Africa (FAO),,2017,6563405
Africa (FAO),,2018,7671800
Africa (FAO),,2019,6854918
Africa (FAO),,2020,5534513
Albania,ALB,1961,8930
Albania,ALB,1962,6934
Albania,ALB,1963,7886
Albania,ALB,1964,8304
Albania,ALB,1965,7300
Albania,ALB,1966,9600
Albania,ALB,1967,10400
Albania,ALB,1968,7900
Albania,ALB,1969,7500
Albania,ALB,1970,9700
Albania,ALB,1971,7500
Albania,ALB,1972,7700
Albania,ALB,1973,9000
Albania,ALB,1974,10000
Albania,ALB,1975,10000
Albania,ALB,1976,15000
Albania,ALB,1977,18000
Albania,ALB,1978,20000
Albania,ALB,1979,23000
Albania,ALB,1980,25000
Albania,ALB,1981,25000
Albania,ALB,1982,25400
Albania,ALB,1983,30000
Albania,ALB,1984,30000
Albania,ALB,1985,30000
Albania,ALB,1986,36000
Albania,ALB,1987,38000
Albania,ALB,1988,40000
Albania,ALB,1989,40000
Albania,ALB,1990,5000
Albania,ALB,1991,3323
Albania,ALB,1992,5569
Albania,ALB,1993,4153
